Accession.ID,Country,Latitude,Longitude,altitude
CIho04144,Afghanistan,34.933,68.483,2263
CIho04159,Afghanistan,34.45,68.784,2261
CIho04176,Afghanistan,35.067,67.667,2904
CIho04184,Afghanistan,35.734,69.534,3960
CIho04188,Afghanistan,34.529,69.173,1798
CIho06601,Afghanistan,34.951,70.068,1638
CIho11688,Afghanistan,34.868,68.001,2596
CIho14250,Afghanistan,36.835,70.518,2446
CIho14255,Afghanistan,35.118,69.301,1575
CIho14258,Afghanistan,30.502,62.002,536
CIho14260,Afghanistan,33.302,62.135,1075
PI125321,Afghanistan,33.002,66.002,2194
PI134636,Afghanistan,34.419,69.385,2083
PI135758,Afghanistan,35.935,66.419,1249
PI135761,Afghanistan,34.552,65.152,2335
PI140277,Afghanistan,33.002,66.002,2194
PI140278,Afghanistan,34.819,67.819,2516
PI198734,Afghanistan,33.552,68.419,2182
PI220659,Afghanistan,34.986,68.736,2026
PI220660,Afghanistan,35.753,69.003,2201
PI223446,Afghanistan,37.119,70.569,1191
PI223509,Afghanistan,34.419,70.453,579
PI223879,Afghanistan,36.003,69.753,2351
PI244785,Afghanistan,34.52,69.186,1797
PI244791,Afghanistan,35.003,69.17,1548
PI250775,Afghanistan,31.603,65.703,996
PI250778,Afghanistan,31.603,65.703,996
PI328728,Afghanistan,33.004,66.004,2129
PI328729,Afghanistan,33.004,66.004,2129
PI331895,Afghanistan,33.004,66.004,2129
PI366439,Afghanistan,34.554,65.787,2449
PI366450,Afghanistan,34.871,63.087,1297
PI366453,Afghanistan,33.771,62.254,1482
PI366478,Afghanistan,36.688,67.838,402
CIho02479,Algeria,36.038,0.138,-1
CIho03549,Algeria,33.022,6.022,80
CIho14051,Algeria,33.106,6.072,68
CIho14052,Algeria,34.856,5.739,110
CIho14053,Algeria,34.856,5.739,110
CIho14054,Algeria,33.023,6.023,84
CIho14055,Algeria,33.023,6.023,84
CIho14059,Algeria,34.656,5.889,17
PI039590,Algeria,35.423,0.173,701
PI057047,Algeria,33.107,6.073,72
PI057048,Algeria,33.107,6.073,72
PI057057,Algeria,34.857,5.74,115
PI057065,Algeria,36.757,3.057,30
PI064004,Algeria,28.007,3.007,631
PI434871,Algeria,28.007,3.007,631
CIho14302,Armenia,40.194,44.51,1060
CIho14391,Armenia,40.011,45.011,2050
CIho14394,Armenia,40.011,45.011,2050
CIho14395,Armenia,40.011,45.011,2050
PI061509,Armenia,40.194,44.511,1067
PI061510,Armenia,40.194,44.511,1067
PI073291,Armenia,40.011,45.011,2050
PI073292,Armenia,40.011,45.011,2050
PI073299,Armenia,40.011,45.011,2050
PI073301,Armenia,40.011,45.011,2050
PI094797,Armenia,40.062,44.512,935
PI283397,Armenia,40.012,45.012,2111
PI327837,Armenia,39.795,45.295,1432
PI327838,Armenia,40.012,45.012,2111
PI327840,Armenia,40.879,45.145,675
PI327842,Armenia,40.879,45.145,675
PI327866,Armenia,40.012,45.012,2111
PI372077,Armenia,40.962,44.662,1243
PI573610,Armenia,40.013,45.013,2070
PI183631,Austria,47.567,16.1,464
PI183636,Austria,48.417,16.234,221
PI350713,Austria,47.035,13.635,1801
PI350715,Austria,47.168,13.518,1789
PI350717,Austria,47.302,12.668,1395
PI350725,Austria,47.068,10.635,1408
PI467467,Austria,47.269,11.352,644
PI467486,Austria,47.702,14.269,755
CIho14326,Azerbaijan,40.06,47.06,205
CIho14327,Azerbaijan,40.048,47.048,221
CIho14328,Azerbaijan,40.065,47.065,199
CIho14332,Azerbaijan,40.108,47.108,148
CIho14333,Azerbaijan,40.102,47.102,153
CIho14334,Azerbaijan,40.118,47.118,127
CIho14341,Azerbaijan,40.077,47.077,187
CIho14344,Azerbaijan,40.045,47.045,227
CIho14345,Azerbaijan,40.108,47.108,148
PI068187,Azerbaijan,40.113,47.113,133
PI068189,Azerbaijan,40.111,47.111,136
PI068193,Azerbaijan,40.11,47.11,144
PI068208,Azerbaijan,40.097,47.097,159
PI068209,Azerbaijan,40.101,47.101,154
PI068218,Azerbaijan,40.117,47.117,130
PI068226,Azerbaijan,40.026,47.026,250
PI073296,Azerbaijan,40.085,47.085,179
PI073297,Azerbaijan,40.092,47.092,165
PI073303,Azerbaijan,40.118,47.118,127
PI094853,Azerbaijan,40.388,50.005,40
PI327827,Azerbaijan,39.231,45.434,894
PI564595,Bhutan,27.275,89.442,3557
PI574292,Bhutan,27.559,90.192,3003
PI253313,Bosnia and Herzegovina,44.428,17.111,524
PI344920,Bosnia and Herzegovina,43.078,18.611,979
PI344926,Bosnia and Herzegovina,43.328,18.778,1510
PI344928,Bosnia and Herzegovina,43.395,18.812,1252
PI344930,Bosnia and Herzegovina,43.528,18.795,495
PI344932,Bosnia and Herzegovina,43.445,18.912,1162
PI344936,Bosnia and Herzegovina,43.529,18.795,453
PI344940,Bosnia and Herzegovina,43.579,19.095,1271
PI344941,Bosnia and Herzegovina,43.579,19.096,1283
PI344942,Bosnia and Herzegovina,43.579,19.096,1283
PI344943,Bosnia and Herzegovina,43.779,18.796,786
PI349907,Bosnia and Herzegovina,43.779,19.479,550
PI374420,Bosnia and Herzegovina,44.163,17.429,780
PI374421,Bosnia and Herzegovina,44.163,17.429,780
PI374423,Bosnia and Herzegovina,44.28,17.863,583
PI374424,Bosnia and Herzegovina,43.53,18.796,454
PI327907,Bulgaria,43.032,25.032,238
PI328152,Bulgaria,43.033,25.033,235
PI328154,Bulgaria,43.033,25.033,235
PI328155,Bulgaria,43.033,25.033,235
PI328162,Bulgaria,43.033,25.033,235
CIho14268,China,39.958,116.475,38
CIho14291,China,30.708,104.108,505
PI057089,China,30.625,114.359,27
PI057296,China,42.342,123.859,71
PI060205,China,31.792,80.409,5053
PI069421,China,36.759,114.559,57
PI069563,China,45.792,126.692,121
PI070839,China,43.939,125.369,193
PI070853,China,42.843,126.193,338
PI073700,China,49.643,117.476,704
PI584959,China,26.591,117.889,278
PI584962,China,30.062,120.918,12
PI584963,China,36.103,103.839,1618
PI584971,China,36.047,96.047,4059
PI584973,China,42.616,85.503,3858
PI584974,China,42.616,85.503,3858
PI584975,China,39.047,116.047,15
PI584977,China,37.047,112.047,910
PI611491,China,30.063,120.919,17
PI264916,Croatia,42.82,17.97,595
PI264921,Croatia,43.737,16.153,350
PI264922,Croatia,45.47,14.953,581
PI264923,Croatia,45.287,13.987,337
PI247928,Cyprus,35.055,33.055,443
PI283433,Cyprus,35.055,33.055,443
PI327606,Czechoslovakia,41.273,-98.563,589
CIho00497,Egypt,27.065,30.065,183
CIho03556,Egypt,28.166,30.816,116
CIho03576,Egypt,31.582,25.232,NA
CIho03581,Egypt,31.582,25.232,NA
CIho03642,Egypt,30.983,29.599,9
CIho03694,Egypt,26.133,34.166,79
CIho03709,Egypt,31.049,29.833,2
CIho03734,Egypt,31.05,29.833,4
CIho06721,Egypt,30.074,31.277,22
PI057752,Egypt,31.479,31.524,NA
PI060679,Egypt,30.083,31.283,23
PI060701,Egypt,29.567,34.067,679
PI564602,Egypt,31.419,27.302,NA
CIho13742,Eritrea,15.403,39.003,1827
CIho13743,Eritrea,15.403,39.003,1827
CIho13745,Eritrea,15.403,39.003,1827
CIho14880,Eritrea,15.403,39.003,1827
CIho14881,Eritrea,15.403,39.003,1827
CIho14883,Eritrea,15.403,39.003,1827
PI285118,Eritrea,15.07,39.07,2113
PI286388,Eritrea,15.404,39.004,1829
PI286389,Eritrea,15.07,39.07,2113
PI296453,Eritrea,15.404,39.004,1829
PI296459,Eritrea,14.754,39.487,2037
PI296460,Eritrea,15.837,38.521,1368
PI331217,Eritrea,15.404,39.004,1829
PI386406,Eritrea,15.404,38.738,2129
CIho01604,Ethiopia,8.071,38.071,2731
CIho11709,Ethiopia,7.905,36.738,1493
CIho11812,Ethiopia,8.072,38.072,2716
CIho11849,Ethiopia,8.072,38.072,2716
CIho13141,Ethiopia,8.072,38.072,2716
CIho13353,Ethiopia,12.672,37.539,2396
CIho13737,Ethiopia,9.389,42.189,1936
CIho14124,Ethiopia,11.206,39.706,2558
CIho14978,Ethiopia,13.722,39.639,2106
PI060694,Ethiopia,8.073,38.073,2750
PI151787,Ethiopia,8.073,38.073,2750
PI151795,Ethiopia,8.073,38.073,2750
PI186424,Ethiopia,8.073,38.073,2750
PI193799,Ethiopia,9.106,38.773,3041
PI194951,Ethiopia,12.673,37.54,2357
PI194952,Ethiopia,12.673,37.54,2357
PI273905,Ethiopia,7.907,36.74,1524
PI277393,Ethiopia,9.14,38.573,2729
PI283441,Ethiopia,8.073,38.073,2750
PI285124,Ethiopia,9.757,39.607,2698
PI290346,Ethiopia,8.074,38.074,2733
PI295442,Ethiopia,9.424,38.841,2513
PI295581,Ethiopia,7.274,38.674,2039
PI296455,Ethiopia,13.574,39.541,2288
PI296457,Ethiopia,14.274,39.491,2433
