,Northern Levant,Northern Mesopotamia,Syrian Desert,Southern Levant,Central Asia
CIho04087,0.18,0.09,0.05,0.64,0.09
CIho04095,0.05,0.14,0.05,0.68,0.18
CIho06702,0.05,0.09,0.05,0.68,0.23
CIho10549,0.14,0.05,0.23,0.45,0.23
CIho10550,0.14,0.09,0.18,0.55,0.14
CIho13353,0.09,0.18,0.05,0.77,0.05
CIho14302,0.23,0.09,0.18,0.55,0.09
CIho14328,0.05,0.05,0.05,0.68,0.27
CIho14333,0.18,0.14,0.14,0.5,0.14
CIho14334,0.23,0.05,0.18,0.5,0.14
CIho14344,0.14,0.05,0.09,0.68,0.18
CIho14345,0.23,0,0.18,0.59,0.09
CIho14391,0.14,0,0.09,0.73,0.14
CIho14394,0.14,0.05,0.09,0.59,0.23
CIho14395,0.09,0.14,0.05,0.59,0.18
PI005873,0.14,0.05,0.05,0.82,0.05
PI035051,0.09,0.09,0,0.77,0.05
PI038317,0.05,0.05,0.05,0.91,0
PI038320,0.23,0.09,0.14,0.59,0.09
PI038484,0.05,0.05,0.18,0.55,0.27
PI038485,0.05,0,0.23,0.55,0.27
PI048641,0.09,0.09,0.14,0.59,0.18
PI057015,0.05,0.09,0.27,0.5,0.18
PI057065,0.18,0.18,0,0.68,0.05
PI057095,0.23,0.05,0.05,0.73,0.05
PI057097,0.14,0.09,0.05,0.64,0.18
PI057098,0.14,0.09,0,0.64,0.18
PI057099,0.14,0.09,0.27,0.5,0.14
PI061509,0.14,0.14,0.18,0.5,0.14
PI061510,0.14,0.09,0.09,0.64,0.09
PI068208,0.18,0.05,0.09,0.59,0.14
PI068209,0.18,0.09,0,0.64,0.14
PI068226,0.14,0,0.09,0.64,0.14
PI073291,0.27,0.18,0.18,0.41,0.05
PI073292,0.18,0.14,0.09,0.59,0.14
PI073296,0.05,0.09,0.05,0.59,0.23
PI073297,0.18,0.05,0.14,0.64,0.09
PI073301,0.14,0.05,0.18,0.59,0.14
PI076281,0,0.09,0.18,0.73,0.09
PI078786,0.14,0.05,0.09,0.73,0.09
PI086189,0.09,0.09,0,0.77,0.09
PI094790,0.27,0.05,0.09,0.64,0.09
PI094797,0.23,0.09,0.05,0.64,0.09
PI094801,0.14,0.05,0.14,0.5,0.27
PI094806,0.23,0.09,0.14,0.55,0.14
PI094834,0.09,0.14,0,0.77,0.05
PI117347,0.14,0.09,0.14,0.68,0.05
PI141423,0.23,0.09,0.14,0.64,0
PI168367,0.18,0.05,0.18,0.68,0
PI178594,0.18,0.14,0,0.55,0.18
PI178636,0.14,0,0.14,0.73,0.14
PI182373,0.23,0.09,0.18,0.5,0.09
PI182659,0.18,0,0.27,0.5,0.18
PI182662,0.14,0.05,0.27,0.41,0.23
PI182681,0.05,0.23,0.18,0.45,0.18
PI182687,0.18,0.09,0.32,0.45,0.05
PI182691,0.18,0.09,0.27,0.41,0.18
PI182693,0.18,0.14,0.18,0.5,0.14
PI182694,0.09,0.05,0.23,0.59,0.18
PI184103,0.23,0.14,0.18,0.55,0.05
PI184112,0.18,0.18,0.14,0.59,0.05
PI220659,0.23,0.14,0.14,0.59,0.05
PI226639,0.09,0.09,0.18,0.59,0.14
PI227449,0.14,0.05,0.23,0.55,0.14
PI243581,0.09,0.18,0.05,0.59,0.18
PI244785,0.18,0.05,0.18,0.64,0.05
PI250861,0.32,0.09,0.09,0.5,0.09
PI253313,0.14,0,0.09,0.77,0.05
PI253938,0.14,0.05,0.32,0.55,0.09
PI264251,0.32,0.14,0.09,0.5,0.09
PI264864,0.05,0.18,0.05,0.77,0.05
PI264870,0.32,0.14,0.09,0.5,0.05
PI264926,0.23,0.05,0.14,0.64,0
PI268241,0.09,0,0.27,0.64,0.09
PI268255,0.09,0.09,0.23,0.64,0.09
PI268256,0.05,0.09,0.14,0.68,0.18
PI283397,0.09,0.14,0.09,0.68,0.09
PI285118,0.14,0.05,0,0.77,0.14
PI296185,0.09,0.14,0.09,0.59,0.18
PI296455,0.14,0.18,0.14,0.59,0.05
PI327701,0.23,0,0.09,0.64,0.14
PI327702,0.27,0,0.09,0.55,0.14
PI327704,0.14,0.09,0.05,0.64,0.18
PI327708,0.23,0.05,0.09,0.59,0.09
PI327709,0.23,0.05,0.09,0.55,0.14
PI327738,0.23,0.05,0.09,0.55,0.14
PI327764,0.23,0,0.05,0.64,0.14
PI327783,0.23,0,0.09,0.64,0.14
PI327810,0.23,0.05,0.09,0.55,0.14
PI327840,0.14,0.09,0.05,0.64,0.09
PI327842,0.14,0.05,0.05,0.64,0.18
PI327868,0.18,0.14,0.18,0.59,0
PI328171,0.18,0.09,0.23,0.5,0.09
PI328336,0.14,0.09,0.09,0.64,0.18
PI328637,0.18,0.05,0.05,0.73,0.09
PI328858,0.14,0.14,0,0.73,0.05
PI328907,0.09,0.14,0.32,0.45,0.14
PI328976,0.05,0.09,0,0.77,0.18
PI329032,0.23,0.05,0.14,0.55,0.09
PI331895,0.18,0.09,0.14,0.59,0.09
PI342136,0.18,0.05,0.09,0.59,0.18
PI342139,0.18,0.14,0.09,0.59,0.14
PI342198,0.18,0.14,0.05,0.59,0.14
PI342219,0.14,0.18,0.18,0.45,0.14
PI342270,0.18,0.14,0.18,0.59,0.05
PI342283,0.05,0.09,0.32,0.5,0.14
PI342329,0.14,0.18,0.27,0.45,0.05
PI342331,0.09,0.23,0.18,0.5,0.09
PI344885,0.23,0.09,0.05,0.64,0.09
PI344886,0.23,0.05,0.14,0.64,0
PI344903,0.14,0.05,0.09,0.77,0
PI344920,0.14,0.18,0.09,0.59,0.09
PI344926,0.18,0.09,0.14,0.64,0.09
PI344928,0.09,0.09,0.09,0.77,0.05
PI344930,0.18,0.14,0.18,0.59,0.05
PI344932,0.09,0.14,0,0.77,0.05
PI344936,0.09,0.09,0.09,0.77,0
PI344940,0.23,0.05,0.09,0.68,0.05
PI344941,0.05,0.09,0.18,0.68,0.09
PI344942,0.14,0.05,0.09,0.68,0.09
PI344943,0.14,0.05,0.09,0.73,0.09
PI344944,0.18,0.09,0.18,0.59,0.05
PI344956,0.27,0.05,0.14,0.5,0.09
PI344958,0.09,0.05,0.23,0.68,0.05
PI349896,0.18,0.05,0.09,0.64,0.09
PI349907,0.05,0.09,0.05,0.77,0.05
PI350713,0.14,0.09,0.05,0.86,0
PI350715,0.09,0.05,0.14,0.77,0.05
PI350725,0.14,0,0.05,0.82,0.05
PI370782,0.09,0.05,0.05,0.86,0.05
PI370821,0.09,0.09,0.14,0.77,0
PI370833,0.18,0.18,0,0.68,0.05
PI370852,0.23,0.09,0.09,0.68,0.05
PI370862,0.09,0.05,0.18,0.73,0.05
PI370867,0.18,0.14,0.14,0.64,0.05
PI370869,0.09,0.14,0.09,0.68,0.09
PI370963,0.27,0.05,0.14,0.55,0.09
PI370966,0.05,0.18,0.18,0.68,0
PI370983,0.09,0.09,0.14,0.73,0.05
PI370994,0.14,0.09,0.14,0.64,0.14
PI371017,0.09,0.05,0.09,0.82,0.09
PI371056,0.05,0.18,0.05,0.73,0.05
PI371069,0.14,0.18,0.14,0.5,0.09
PI371079,0.14,0.09,0.14,0.64,0.14
PI371100,0.05,0.14,0.18,0.68,0
PI371102,0.05,0,0.09,0.82,0.18
PI371105,0.09,0.14,0.14,0.68,0.05
PI371111,0.05,0.18,0.09,0.73,0.05
PI371149,0.09,0.18,0,0.77,0.05
PI371156,0.18,0.18,0.09,0.59,0.05
PI371172,0.09,0.09,0.14,0.73,0.05
PI371196,0.09,0.14,0.09,0.73,0.05
PI371217,0.05,0.05,0.09,0.86,0.09
PI371245,0.09,0.14,0.05,0.77,0.05
PI371248,0.14,0.09,0.05,0.77,0.05
PI371275,0.09,0.09,0.05,0.86,0
PI371298,0.05,0.23,0.05,0.68,0.09
PI371320,0.09,0.09,0.09,0.68,0.14
PI371323,0.14,0.14,0.09,0.68,0.05
PI371327,0.09,0.14,0,0.82,0.05
PI371338,0.18,0.14,0.05,0.59,0.14
PI371377,0.09,0.09,0.05,0.86,0.05
PI371384,0.18,0.18,0.05,0.64,0.09
PI371390,0.14,0.05,0.09,0.82,0
PI371392,0.23,0.14,0.05,0.59,0.09
PI371441,0.14,0.14,0.14,0.68,0.05
PI371477,0.14,0.14,0.05,0.68,0.09
PI371490,0.05,0.14,0.09,0.68,0.14
PI372077,0.23,0.09,0,0.73,0.05
PI374413,0.14,0.09,0.18,0.59,0.09
PI374420,0.14,0.05,0.14,0.68,0.05
PI374421,0.14,0,0.09,0.77,0.05
PI374423,0.14,0.05,0.09,0.73,0.09
PI374424,0.23,0.14,0,0.68,0.05
PI374429,0.18,0.05,0.05,0.73,0.09
PI378218,0.23,0.09,0.18,0.55,0.05
PI420923,0.23,0,0.23,0.45,0.18
PI422233,0.14,0.09,0.18,0.64,0.05
PI429360,0.23,0.05,0.18,0.55,0.09
PI467375,0.23,0.05,0.05,0.77,0.05
PI467486,0.18,0.05,0.09,0.64,0.09
PI467625,0.09,0.05,0,0.82,0.05
PI467657,0.09,0.14,0.05,0.68,0.09
PI494169,0.14,0.05,0.23,0.55,0.18
PI494175,0.14,0.05,0.27,0.55,0.14
PI564603,0.18,0.05,0.18,0.5,0.18
PI564607,0.23,0.14,0.14,0.45,0.14
PI564613,0.14,0.05,0.27,0.45,0.18
PI564614,0.09,0,0.23,0.55,0.23
PI564616,0.09,0.05,0.18,0.68,0.14
PI564620,0.14,0.09,0.18,0.5,0.14
PI564621,0.18,0,0.27,0.41,0.27
PI564622,0.14,0.09,0.23,0.5,0.14
PI564641,0.18,0.14,0.14,0.5,0.14
PI564644,0.09,0.09,0.14,0.5,0.27
PI573610,0.14,0.14,0.09,0.64,0.09
PI573659,0.05,0.09,0.23,0.59,0.18
PI573660,0.09,0.18,0.27,0.36,0.23
PI573661,0.09,0.09,0.14,0.59,0.23
PI573662,0.09,0.09,0.14,0.55,0.27
PI573663,0.14,0.05,0.27,0.55,0.14
PI573668,0.09,0.14,0.09,0.55,0.23
PI573675,0.14,0.09,0.23,0.55,0.14
PI573682,0.23,0.09,0.14,0.45,0.18
PI573687,0.18,0.14,0.09,0.5,0.18
PI573702,0.14,0.09,0.18,0.5,0.18
PI573703,0.27,0.09,0.05,0.5,0.14
PI584785,0,0.09,0.23,0.64,0.18
PI584962,0.14,0.14,0.05,0.73,0.05
PI584973,0.09,0.09,0.05,0.77,0.05
,,,,,
CIho01458,0.05,0.14,0,0.73,0.14
CIho01461,0.14,0.14,0,0.73,0.05
CIho01468,0.14,0.05,0.09,0.59,0.18
CIho02266,0.18,0.09,0.09,0.55,0.18
CIho02337,0.09,0.05,0.14,0.73,0.05
CIho02339,0.23,0.09,0.05,0.55,0.14
CIho03826,0.09,0.14,0.05,0.59,0.18
CIho03853,0.14,0.05,0.05,0.68,0.14
CIho03865,0.14,0.09,0.05,0.59,0.23
CIho03886,0.09,0.14,0,0.68,0.14
CIho04049,0.05,0.14,0.05,0.64,0.27
CIho04050,0.09,0.09,0.09,0.59,0.27
CIho04056,0.05,0.36,0.05,0.64,0.05
CIho04063,0.14,0.23,0,0.64,0.09
CIho04064,0.09,0.23,0,0.68,0.14
