Accession ID,Latitude,Longitude,Altitude,Country
CIho04144,34.933,68.483,0,Afghanistan
CIho04159,34.45,68.784,0,Afghanistan
CIho04176,35.067,67.667,0,Afghanistan
CIho04184,35.734,69.534,0,Afghanistan
CIho04188,34.529,69.173,0,Afghanistan
CIho06601,34.951,70.068,0,Afghanistan
CIho11688,34.868,68.001,0,Afghanistan
CIho14250,36.835,70.518,0,Afghanistan
CIho14255,35.118,69.301,0,Afghanistan
CIho14258,30.502,62.002,0,Afghanistan
CIho14260,33.302,62.135,0,Afghanistan
PI125321,33.002,66.002,0,Afghanistan
PI134636,34.419,69.385,0,Afghanistan
PI135758,35.935,66.419,0,Afghanistan
PI135761,34.552,65.152,0,Afghanistan
PI140277,33.002,66.002,0,Afghanistan
PI140278,34.819,67.819,0,Afghanistan
PI198734,33.552,68.419,0,Afghanistan
PI220659,34.986,68.736,0,Afghanistan
PI220660,35.753,69.003,0,Afghanistan
PI223446,37.119,70.569,0,Afghanistan
PI223509,34.419,70.453,0,Afghanistan
PI223879,36.003,69.753,0,Afghanistan
PI244785,34.52,69.186,0,Afghanistan
PI244791,35.003,69.17,0,Afghanistan
PI250775,31.603,65.703,0,Afghanistan
PI250778,31.603,65.703,0,Afghanistan
PI328728,33.004,66.004,0,Afghanistan
PI328729,33.004,66.004,0,Afghanistan
PI331895,33.004,66.004,0,Afghanistan
PI366439,34.554,65.787,0,Afghanistan
PI366450,34.871,63.087,0,Afghanistan
PI366453,33.771,62.254,0,Afghanistan
PI366478,36.688,67.838,0,Afghanistan
CIho02479,36.038,0.138,0,Algeria
CIho03549,33.022,6.022,0,Algeria
CIho14051,33.106,6.072,0,Algeria
CIho14052,34.856,5.739,0,Algeria
CIho14053,34.856,5.739,0,Algeria
CIho14054,33.023,6.023,0,Algeria
CIho14055,33.023,6.023,0,Algeria
CIho14059,34.656,5.889,0,Algeria
PI039590,35.423,0.173,0,Algeria
PI057047,33.107,6.073,0,Algeria
PI057048,33.107,6.073,0,Algeria
PI057057,34.857,5.74,0,Algeria
PI057065,36.757,3.057,0,Algeria
PI064004,28.007,3.007,0,Algeria
PI434871,28.007,3.007,0,Algeria
CIho14302,40.194,44.51,0,Armenia
CIho14391,40.011,45.011,0,Armenia
CIho14394,40.011,45.011,0,Armenia
CIho14395,40.011,45.011,0,Armenia
