Taxa,Latitude,Longitude,altitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,IC1,IC2,IC3
CIho04144,34.933,68.483,2263,65,128,34,8215,248,-122,370,13,159,167,-48,397,87,0,89,233,3,5,153,0.536,-0.591,-0.47
CIho04159,34.45,68.784,2261,67,134,33,8846,260,-135,395,11,167,176,-57,433,101,0,91,259,6,8,162,0.606,-0.76,-0.397
CIho04176,35.067,67.667,2904,45,140,35,8343,235,-156,391,-8,137,147,-70,245,48,0,75,124,2,6,101,0.735,-0.692,-0.791
CIho04184,35.734,69.534,3960,11,88,28,7206,165,-149,314,-41,97,104,-84,1114,261,4,93,666,19,27,373,1.162,0.222,0.27
CIho04188,34.529,69.173,1798,121,149,37,8631,323,-78,401,65,227,227,3,328,78,1,97,209,8,8,121,-0.019,-0.948,-0.314
CIho06601,34.951,70.068,1638,125,108,31,8132,295,-43,338,67,186,229,17,692,161,12,87,409,47,51,205,0.071,-0.247,0
CIho11688,34.868,68.001,2596,14,127,33,8167,195,-185,380,-40,105,114,-98,435,93,0,83,241,4,10,167,1.088,-0.506,-0.602
CIho14250,36.835,70.518,2446,88,119,32,8465,282,-88,370,30,190,197,-24,659,137,2,85,362,13,22,210,0.35,-0.469,-0.191
CIho14255,35.118,69.301,1575,133,97,28,8597,305,-39,344,75,244,244,19,509,137,1,103,335,7,7,173,-0.048,-0.537,-0.096
CIho14258,30.502,62.002,536,222,165,40,9114,423,13,410,125,336,336,100,52,16,0,102,37,0,0,32,-1.046,-1.313,-0.456
CIho14260,33.302,62.135,1075,165,164,40,8687,375,-29,404,75,278,278,52,168,40,0,101,109,0,0,100,-0.565,-1.098,-0.451
PI125321,33.002,66.002,2194,67,168,36,9683,297,-159,456,-50,173,187,-66,273,66,0,95,162,0,1,145,0.622,-1.173,-0.664
PI134636,34.419,69.385,2083,96,134,34,8750,287,-104,391,39,161,204,-25,496,118,3,91,301,20,22,173,0.365,-0.723,-0.218
PI135758,35.935,66.419,1249,124,142,35,8770,332,-69,401,71,237,237,8,233,46,0,87,130,0,0,98,-0.085,-0.935,-0.551
PI135761,34.552,65.152,2335,56,166,37,9203,277,-167,444,-59,153,168,-73,250,49,0,86,133,0,2,112,0.706,-1.056,-0.791
PI140277,33.002,66.002,2194,67,168,36,9683,297,-159,456,-50,173,187,-66,273,66,0,95,162,0,1,145,0.622,-1.173,-0.664
PI140278,34.819,67.819,2516,53,143,36,8368,243,-147,390,0,145,155,-62,188,33,0,75,90,1,5,84,0.632,-0.732,-0.84
PI198734,33.552,68.419,2182,96,150,35,9430,306,-117,423,38,204,213,-33,253,57,0,87,143,5,7,104,0.303,-1.056,-0.569
PI220659,34.986,68.736,2026,75,122,33,8188,255,-106,361,22,170,177,-38,496,116,0,95,304,5,6,180,0.456,-0.542,-0.277
PI220660,35.753,69.003,2201,108,107,30,8267,288,-61,349,53,205,215,-1,544,137,0,98,342,3,4,189,0.146,-0.5,-0.13
PI223446,37.119,70.569,1191,119,141,35,8603,330,-63,393,112,221,230,5,542,108,2,83,299,11,19,166,-0.023,-0.792,-0.107
PI223509,34.419,70.453,579,214,137,36,8643,404,24,380,164,326,326,102,210,48,2,84,120,11,11,66,-0.969,-0.927,-0.355
PI223879,36.003,69.753,2351,78,100,29,7905,251,-85,336,22,173,181,-25,824,198,3,94,499,14,18,270,0.472,-0.194,0.093
PI244785,34.52,69.186,1797,119,150,36,8786,323,-85,408,62,227,227,-2,336,80,1,95,212,9,9,123,0.032,-0.977,-0.328
PI244791,35.003,69.17,1548,124,110,30,8494,302,-53,355,67,232,232,9,473,124,1,102,309,6,6,163,0.014,-0.615,-0.15
PI250775,31.603,65.703,996,190,173,41,8976,410,-6,416,94,240,306,72,173,61,0,127,132,1,2,123,-0.731,-1.365,-0.128
PI250778,31.603,65.703,996,190,173,41,8976,410,-6,416,94,240,306,72,173,61,0,127,132,1,2,123,-0.731,-1.365,-0.128
PI328728,33.004,66.004,2129,67,168,36,9683,297,-159,456,-50,173,187,-66,273,66,0,95,162,0,1,145,0.622,-1.173,-0.664
PI328729,33.004,66.004,2129,67,168,36,9683,297,-159,456,-50,173,187,-66,273,66,0,95,162,0,1,145,0.622,-1.173,-0.664
PI331895,33.004,66.004,2129,67,168,36,9683,297,-159,456,-50,173,187,-66,273,66,0,95,162,0,1,145,0.622,-1.173,-0.664
PI366439,34.554,65.787,2449,51,168,37,9048,272,-179,451,-4,149,161,-75,253,51,0,81,135,0,2,98,0.745,-1.129,-0.676
PI366450,34.871,63.087,1297,136,141,37,8095,336,-39,375,40,240,240,28,343,83,0,97,202,0,0,169,-0.271,-0.703,-0.393
PI366453,33.771,62.254,1482,126,156,39,8438,330,-65,395,35,236,236,16,239,51,0,101,147,0,0,135,-0.178,-0.919,-0.492
PI366478,36.688,67.838,402,170,140,34,9374,386,-18,404,116,291,291,49,207,50,0,91,117,0,0,88,-0.521,-1.08,-0.442
CIho02479,36.029,0.176,5,180,68,34,4563,284,85,199,135,237,242,125,350,65,1,70,178,8,17,145,-0.971,0.57,-0.478
CIho03549,33.022,6.022,80,215,145,37,8145,418,34,384,121,321,321,111,60,9,1,46,25,4,4,20,-1.06,-0.751,-0.867
CIho14051,33.106,6.072,68,215,145,37,8101,416,34,382,121,319,319,111,63,9,1,48,27,4,4,22,-1.057,-0.747,-0.852
CIho14052,34.856,5.739,110,213,121,34,7883,401,54,347,218,318,318,114,149,20,2,41,56,14,14,38,-1.089,-0.533,-0.652
CIho14053,34.856,5.739,110,213,121,34,7883,401,54,347,218,318,318,114,149,20,2,41,56,14,14,38,-1.089,-0.533,-0.652
CIho14054,33.023,6.023,84,215,145,37,8145,418,34,384,121,321,321,111,60,9,1,46,25,4,4,20,-1.06,-0.751,-0.867
